id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,pendidikan,jumlah_pengangguran,satuan,tahun
643,32,JAWA BARAT,3205,KABUPATEN GARUT,SD,8844.0,ORANG,2017
644,32,JAWA BARAT,3205,KABUPATEN GARUT,SMP,23860.0,ORANG,2017
645,32,JAWA BARAT,3205,KABUPATEN GARUT,SMA,49423.0,ORANG,2017
646,32,JAWA BARAT,3205,KABUPATEN GARUT,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,6984.0,ORANG,2017
647,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,1413.0,ORANG,2017
648,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SD,10802.0,ORANG,2017
649,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SMP,25885.0,ORANG,2017
650,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SMA,13696.0,ORANG,2017
651,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,2104.0,ORANG,2017
652,32,JAWA BARAT,3207,KABUPATEN CIAMIS,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,0.0,ORANG,2017
653,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SD,8283.0,ORANG,2017
654,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SMP,10833.0,ORANG,2017
655,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SMA,13693.0,ORANG,2017
656,32,JAWA BARAT,3207,KABUPATEN CIAMIS,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,0.0,ORANG,2017
657,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,2687.0,ORANG,2017
658,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SD,5782.0,ORANG,2017
659,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SMP,9197.0,ORANG,2017
660,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SMA,16287.0,ORANG,2017
661,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,2750.0,ORANG,2017
662,32,JAWA BARAT,3209,KABUPATEN CIREBON,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,12453.0,ORANG,2017
663,32,JAWA BARAT,3209,KABUPATEN CIREBON,SD,17648.0,ORANG,2017
