Date,Open,High,Low,Close,Adj Close,Volume
2017-01-01,3100.000000,3175.000000,2990.000000,3060.000000,2739.248047,1060211500
2017-02-01,3100.000000,3140.000000,3000.000000,3090.000000,2766.103760,1281602000
2017-03-01,3080.000000,3400.000000,3070.000000,3310.000000,2963.043457,2253395500
2017-04-01,3315.000000,3600.000000,3315.000000,3550.000000,3177.885986,1549815500
2017-05-01,3550.000000,3710.000000,3360.000000,3430.000000,3093.644287,3121828500
2017-06-01,3430.000000,3665.000000,3430.000000,3630.000000,3274.031982,1885510000
2017-07-01,3680.000000,3800.000000,3615.000000,3740.000000,3373.245117,1522488500
2017-08-01,3775.000000,3840.000000,3700.000000,3790.000000,3418.342285,1109861000
2017-09-01,3790.000000,4075.000000,3735.000000,4060.000000,3661.865234,1489716500
2017-10-01,4110.000000,4275.000000,4010.000000,4180.000000,3770.097656,1669109000
2017-11-01,4200.000000,4325.000000,4070.000000,4070.000000,3670.884521,1777042500
2017-12-01,4070.000000,4550.000000,4070.000000,4380.000000,3965.377686,1395856500
2018-01-01,4380.000000,4690.000000,4265.000000,4545.000000,4114.759277,1685130000
2018-02-01,4570.000000,4940.000000,4570.000000,4635.000000,4196.238770,1474075000
2018-03-01,4620.000000,4760.000000,4505.000000,4660.000000,4218.873535,1852434000
2018-04-01,4690.000000,4730.000000,4290.000000,4420.000000,4001.591797,754927500
2018-05-01,4420.000000,4610.000000,4295.000000,4540.000000,4141.540527,1732935000
2018-06-01,4540.000000,4630.000000,4165.000000,4295.000000,3918.043213,1298672500
2018-07-01,4330.000000,4725.000000,4120.000000,4655.000000,4246.446777,1443882500
2018-08-01,4680.000000,5095.000000,4605.000000,4960.000000,4524.678223,1706437500
2018-09-01,5010.000000,5040.000000,4720.000000,4830.000000,4406.087402,1446666000
2018-10-01,4800.000000,4840.000000,4435.000000,4730.000000,4314.863770,1440714500
2018-11-01,4770.000000,5240.000000,4670.000000,5210.000000,4752.736328,1943114500
2018-12-01,5215.000000,5395.000000,4980.000000,5200.000000,4743.613770,1697623000
2019-01-01,5200.000000,5640.000000,5115.000000,5635.000000,5157.263672,1859122000
2019-02-01,5680.000000,5750.000000,5335.000000,5515.000000,5047.437012,1493339500
2019-03-01,5565.000000,5600.000000,5425.000000,5510.000000,5042.861328,790477000
2019-04-01,5550.000000,5805.000000,5450.000000,5750.000000,5262.513672,989206000
2019-05-01,5750.000000,5895.000000,5140.000000,5820.000000,5375.271484,1700900500
2019-06-01,5820.000000,6190.000000,5790.000000,5995.000000,5536.899414,1178851500
2019-07-01,5995.000000,6290.000000,5865.000000,6190.000000,5716.998047,1048706500
2019-08-01,6190.000000,6270.000000,5765.000000,6100.000000,5633.875977,1525333000
2019-09-01,6100.000000,6105.000000,5780.000000,6070.000000,5606.168457,1255296000
2019-10-01,6010.000000,6325.000000,5950.000000,6290.000000,5809.356934,1249113500
2019-11-01,6300.000000,6380.000000,6210.000000,6280.000000,5800.121582,1296823000
2019-12-01,6280.000000,6800.000000,6270.000000,6685.000000,6174.172852,1275070500
2020-01-01,6685.000000,7060.000000,6480.000000,6480.000000,6003.777832,1551656000
2020-02-01,6480.000000,6820.000000,6035.000000,6290.000000,5827.741211,2120977500
2020-03-01,6290.000000,6540.000000,4325.000000,5525.000000,5118.961426,3403123000
2020-04-01,5560.000000,6100.000000,4800.000000,5170.000000,4790.051270,2545355000
2020-05-01,5170.000000,5400.000000,4680.000000,5190.000000,4891.708008,2378008000
2020-06-01,5190.000000,5995.000000,5190.000000,5695.000000,5367.683594,2216937000
2020-07-01,5700.000000,6265.000000,5675.000000,6240.000000,5881.360840,1503022500
2020-08-01,6220.000000,6600.000000,5825.000000,6275.000000,5914.349121,1099871500
2020-09-01,6280.000000,6560.000000,5390.000000,5420.000000,5108.489746,2821163000
2020-10-01,5485.000000,5900.000000,5440.000000,5790.000000,5457.224121,1463911000
2020-11-01,5760.000000,6650.000000,5720.000000,6205.000000,5848.372070,2529672000
2020-12-01,6220.000000,7000.000000,6220.000000,6770.000000,6380.899414,2005640000
2021-01-01,6770.000000,7380.000000,6705.000000,6760.000000,6390.774414,1834336000
2021-02-01,6760.000000,7055.000000,6595.000000,6710.000000,6343.504395,1413109500
2021-03-01,6830.000000,7160.000000,6145.000000,6215.000000,5875.541504,2371572500
2021-04-01,6215.000000,6460.000000,5980.000000,6405.000000,6055.164551,1974207500
2021-05-01,6480.000000,6500.000000,6260.000000,6375.000000,6111.284668,1683020000
2021-06-01,6375.000000,6620.000000,6000.000000,6025.000000,5775.763184,1580537000
2021-07-01,6060.000000,6190.000000,5960.000000,5970.000000,5723.038574,1220667000
2021-08-01,6060.000000,6760.000000,5905.000000,6550.000000,6279.044922,1771916500
2021-09-01,6550.000000,7000.000000,6410.000000,7000.000000,6710.430664,1465856000
2021-10-01,6900.000000,8250.000000,6710.000000,7475.000000,7165.780762,2017737600
2021-11-01,7550.000000,7750.000000,7175.000000,7275.000000,6974.054199,1544359400
2021-12-01,7275.000000,7525.000000,7275.000000,7300.000000,7021.503906,1280505100
2022-01-01,7325.000000,7950.000000,7300.000000,7625.000000,7334.104980,1472535200
2022-02-01,7775.000000,8175.000000,7650.000000,8050.000000,7742.891113,1312503600
2022-03-01,8000.000000,8300.000000,7650.000000,7975.000000,7670.751953,2254595300
2022-04-01,8075.000000,8250.000000,7625.000000,8125.000000,7934.800293,1705910600
2022-05-01,8125.000000,8125.000000,7250.000000,7750.000000,7568.578613,2608979400
